X, Y, FITNESS_EQ
-28.093089260464062,153.41722191163075,CYCLE SEAT
-28.079885554772787,153.35052693465678,LAT PULL DOWN / SHOULDER PRESS
-28.079185475071412,153.34981624349325,EZY RIDER
-27.79262652161569,153.25808846153993,CROSS TRAINER
-27.92593259710099,153.4058067921724,PULL UP / DIP STATION
-27.925649350210843,153.40621353763404,STEPPER MACHINE
-28.07545021894423,153.44678029285117,STEPPER MACHINE
-28.05737947960585,153.4067625318982,PULL UP / DIP STATION
-27.871190066250836,153.363620557639,PULL UP / DIP STATION
-27.88602265660552,153.34696106661644,PULL UP / DIP STATION
-27.9263249795537,153.30297411826277,PULL UP / DIP STATION
-27.997346930963236,153.32531598348885,MULTI ACTIVITY STATION
-27.86793987512994,153.29050623703077,CYCLE SEAT
-27.86793574724522,153.29049449942084,CYCLE SEAT
-27.86793966864692,153.29051855022436,CYCLE SEAT
-27.963062533119654,153.42769468495595,STEP UP
-28.099929517890917,153.462439167971,MULTI ACTIVITY STATION
-28.08257426103324,153.39708466732662,LEG STRETCH
-28.082576995552692,153.39707242379902,LEG STRETCH
-28.118239822246554,153.425072547304,PULL UP / DIP STATION
-28.013735442325416,153.33693889246854,CLIMBER
-28.08570998260074,153.45088884508402,BALANCE BEAM
-28.079210924459332,153.44827680098993,BALANCE BEAM
-28.07581065877391,153.44692755859606,AB CRUNCH / LEG LIFT STATION
-28.022249223075047,153.40909862102646,PARALLEL BARS
-27.97836994898315,153.41825759190795,LAT PULL DOWN / SHOULDER PRESS
-27.883078971569304,153.39629190019153,CROSS TRAINER
-27.880121088510027,153.39756091223367,STEPPER MACHINE
-27.9271268982143,153.40615190004516,CROSS TRAINER
-27.92672155549258,153.4062040944428,CYCLE SEAT
-27.926743417903708,153.40620464573118,PULL UP / DIP STATION
-27.927143054454174,153.40614052431084,AB HIP SWINGER
-27.92731573462821,153.40610459179226,SIT UP BENCH
-27.92729954267753,153.40611277196373,ROWING MACHINE
-27.963104977164736,153.4276778581563,SIT UP BENCH
-27.994852262548488,153.43063713328078,PULL UP / DIP STATION
-27.99572598702785,153.4307022437329,PARALLEL BARS
-28.02103124243701,153.41079729122134,STEPPER MACHINE
-27.99418965747476,153.38548962101623,HAND WALK
-27.993848338658058,153.38574099145984,CLIMBER
-27.978874575341873,153.4179228065288,BUTTERFLY PRESS
-27.88615608163579,153.3467347089035,VAULT BAR
-27.997329247258822,153.325350061803,AB CRUNCH / LEG LIFT STATION
-28.079858015088423,153.350533223802,CROSS TRAINER
-28.025650937119025,153.42783302197986,AB CRUNCH / LEG LIFT STATION
-27.8720136283915,153.3642071527666,MULTI ACTIVITY STATION
-27.867971355160627,153.2905141112953,MULTI ACTIVITY STATION
-28.118462808851266,153.42496428392784,LEG STRETCH
-28.000391236906335,153.41706668109316,LAT PULL DOWN / SHOULDER PRESS
-28.023742291168823,153.4101835811791,HAND WALK
-28.020559765409143,153.41022260151396,ROWING MACHINE
-28.09380383411591,153.41708760561627,BUTTERFLY PRESS
-28.093242081924704,153.4178380072875,LAT PULL DOWN / SHOULDER PRESS
-27.86790131235226,153.29047514261012,LAT PULL DOWN / SHOULDER PRESS
-27.86795476678347,153.29046506602455,AB CRUNCH / LEG LIFT STATION
-28.167327695190302,153.52853946474715,MULTI ACTIVITY STATION
-28.09990509072213,153.4624284874235,MULTI ACTIVITY STATION
-27.963109971397945,153.42776428709413,STEP UP
-28.082808393705406,153.395043047926,MULTI ACTIVITY STATION
-27.881604763601956,153.314367881322,AB CRUNCH / LEG LIFT STATION
-27.786812762449966,153.2640377230298,BALANCE BEAM
-27.78683275877994,153.2640233553893,MULTI ACTIVITY STATION
-28.041442046406477,153.43766127191836,STEP UP
-27.88943654691903,153.397661541639,AB HIP SWINGER
-27.888196513544145,153.39710566891114,CROSS TRAINER
-27.888766479676256,153.39741923563182,PULL UP / DIP STATION
-27.867905889178292,153.29044516788036,AB HIP SWINGER
-28.11858479201297,153.4248910509611,LEG STRETCH
-27.916959669300788,153.3307990701438,LAT PULL DOWN / SHOULDER PRESS
-28.085083612338632,153.45059289392208,AB HIP SWINGER
-28.099953393849937,153.4624500151455,MULTI ACTIVITY STATION
-28.022826413909804,153.41090644095445,PARALLEL BARS
-28.01890114661653,153.41216531999873,BALANCE BEAM
-28.01893265358226,153.41201403939766,PULL UP / DIP STATION
-27.91841872569214,153.30652965035875,PULL UP / DIP STATION
-28.01894173237719,153.41187332573392,PUSH UP STATION
-27.96319151251578,153.4278374043051,PULL UP / DIP STATION
-27.96324483173354,153.42788239615317,PARALLEL BARS
-27.963157982933843,153.42779176257787,PUSH UP STATION
-28.041469414718918,153.43769867979114,PULL UP / DIP STATION
-27.963145514407305,153.42772269172698,VAULT BAR
-28.041430534638767,153.43769030053008,PUSH UP STATION
-27.96306935490243,153.4275910014696,CLIMBER
-27.786825208074642,153.26401583988584,MULTI ACTIVITY STATION
-27.963235732989293,153.4279721725125,PARALLEL BARS
-27.96317034261127,153.42791324997853,BALANCE BEAM
-28.09459318051176,153.41767972961466,EZY RIDER
-28.079310113505294,153.3501697240193,BUTTERFLY PRESS
-27.779258343350246,153.36420009611473,MULTI ACTIVITY STATION
-27.79237371973588,153.2582260613734,AB HIP SWINGER
-28.031356376231987,153.435412738755,TAI CHI WHEEL
-28.032345832884612,153.4356050529145,SQUAT PRESS
-27.88105186900019,153.3133702267178,PULL UP / DIP STATION
-27.88106392940129,153.31334647017076,BALANCE STEPS STATION
-27.735764251285413,153.3578004586448,AB HIP SWINGER
-27.77919127911378,153.36385697733576,PULL UP / DIP STATION
-28.125070333015746,153.47716099197436,MULTI ACTIVITY STATION
-27.88593620835282,153.34713412480116,STEP UP
-27.89945929463389,153.32869582611804,PULL UP / DIP STATION
-27.867910899516666,153.29046654083663,SHOULDER PRESS
-27.886402534274314,153.34646305200445,LEG STRETCH
-28.043188231764873,153.36028392939798,PARALLEL BARS
-28.0430729840667,153.35969768688443,PULL UP / DIP STATION
-28.11838360931181,153.42492241341284,PARALLEL BARS
-28.118320075087613,153.4250396168174,STEP UP
-28.085781242425043,153.45092716356757,HAND WALK
-28.07737940379905,153.44759562402643,VAULT BAR
-28.041519899358214,153.4377140693549,PARALLEL BARS
-28.0004538308289,153.41930769388205,AB HIP SWINGER
-27.99432300590832,153.38531289936822,SIT UP BENCH
-28.021189681695613,153.40939230762757,CROSS TRAINER
-27.993550568161016,153.38607218118005,PARALLEL BARS
-27.99339091886237,153.38629199420706,STEP UP
-28.03516456876337,153.43607335946047,AB CRUNCH / LEG LIFT STATION
-27.87970574499977,153.31008275265697,AB CRUNCH / LEG LIFT STATION
-27.88102206547331,153.31449018285338,AB CRUNCH / LEG LIFT STATION
-27.76632490036276,153.24581206056294,AB HIP SWINGER
-28.07766292051446,153.44769666848262,PULL UP / DIP STATION
-27.735832056332992,153.3577903059769,LAT PULL DOWN / SHOULDER PRESS
-27.926144845092253,153.40642867804877,BALANCE STEPS STATION
-27.867053556862377,153.30444405634367,AB CRUNCH / LEG LIFT STATION
-28.07912558480543,153.44823750505358,AB CRUNCH / LEG LIFT STATION
-28.05523059967459,153.40726736692162,MULTI ACTIVITY STATION
-27.870934866988595,153.36425522833952,MULTI ACTIVITY STATION
-27.77381206149464,153.27190355490302,PULL UP / DIP STATION
-27.885969758401153,153.34703914493937,STEP UP
-27.886120154458016,153.34680940748004,SIT UP BENCH
-27.886217802149517,153.34666989465296,VAULT BAR
-27.886265360330277,153.34660084733713,LEG STRETCH
-27.878815716753444,153.39822463462787,EZY RIDER
-27.882267897139098,153.39658877232856,CYCLE SEAT
-27.88095306856997,153.3970585522228,BUTTERFLY PRESS
-28.082555750155176,153.39708653004556,SIT UP BENCH
-27.867942035250994,153.29042356943603,PULL UP / DIP STATION
-28.04274194873047,153.35993242175158,STEP UP
-28.083328291487746,153.39512392721363,LEG STRETCH
-28.083317334401773,153.39510449945234,SIT UP BENCH
-28.081277100623275,153.4490374493932,HURDLES
-28.077914740055764,153.44780144345802,PARALLEL BARS
-28.02314265485926,153.41030444705612,AB CRUNCH / LEG LIFT STATION
-28.023342642550865,153.4089748343761,LAT PULL DOWN / SHOULDER PRESS
-27.917404976079972,153.33091640593568,AB HIP SWINGER
-27.917774902353145,153.33107599978877,STEPPER MACHINE
-27.91830447611281,153.33128083135736,ROWING MACHINE
-27.77936057027067,153.36468979856366,MULTI ACTIVITY STATION
-28.034230885291425,153.43593713210996,BALANCE STEPS STATION
-28.032373722038912,153.43560650710413,PULL UP / DIP STATION
-27.88162619916445,153.31434607806733,ASSISTED ROW / PUSH UP STATION
-27.881007010107744,153.31448125904427,TAI CHI WHEEL
-27.92583128002847,153.4064358027076,SHOULDER PRESS
-27.92615904395451,153.40641984821838,SQUAT PRESS
-27.943940157661565,153.32249341734163,MULTI ACTIVITY STATION
-28.056665044618175,153.40535648147494,PULL UP / DIP STATION
-27.885897086390933,153.3472227186522,PUSH UP STATION
-27.86794589778841,153.29043270990582,PULL UP / DIP STATION
-28.082753239800518,153.39504880443445,AB HIP SWINGER
-27.996576078788795,153.43075853946647,BALANCE BEAM
-28.118320318132202,153.4249612031907,PULL UP / DIP STATION
-28.118257020256202,153.42499923742298,SIT UP BENCH
-28.077531762230468,153.4476482037998,PARALLEL BARS
-28.001223010199183,153.4190256981213,ROWING MACHINE
-28.00059024498444,153.41991548390706,BUTTERFLY PRESS
-28.024025236737977,153.4099418969653,AB HIP SWINGER
-28.02065580801268,153.40976472925422,HURDLES
-27.993670698562138,153.38587721723448,PULL UP / DIP STATION
-27.978651114614248,153.41806893016565,CYCLE SEAT
-28.09344098209493,153.41715922789913,AB HIP SWINGER
-27.917374318235115,153.33090181540928,CYCLE SEAT
-28.036290662335507,153.43629559880097,ASSISTED ROW / PUSH UP STATION
-28.035197110684962,153.43608498394804,AB CRUNCH / LEG LIFT STATION
-27.77951379893874,153.36480413376714,AB CRUNCH / LEG LIFT STATION
-27.925650763110635,153.40619359603355,TAI CHI WHEEL
-28.075432293623923,153.44671299709287,SHOULDER PRESS
-28.07549039981189,153.44674655467398,SQUAT PRESS
-28.080458848232286,153.44871630173438,CROSS TRAINER
-28.025623694079698,153.4279458218002,CROSS TRAINER
-27.944075794170367,153.32242341041518,MULTI ACTIVITY STATION
-27.86791684781801,153.2905140502372,CROSS TRAINER
-28.083316456972202,153.39512707275904,LEG STRETCH
-28.094537657935852,153.41715070929672,ROWING MACHINE
-28.093091740059222,153.4175344151432,CROSS TRAINER
-28.0795573130832,153.3503813485956,CYCLE SEAT
-28.07918159366177,153.3497807302154,ROWING MACHINE
-27.917754195015252,153.33105666193626,BUTTERFLY PRESS
-27.7793152978235,153.36447061902075,MULTI ACTIVITY STATION
-27.879702605816387,153.31011382294233,ASSISTED ROW / PUSH UP STATION
-27.881645406209,153.31431580758417,SHOULDER PRESS
-27.766297808711847,153.24592371911191,CROSS TRAINER
-27.867340306360063,153.3050554844187,PULL UP / DIP STATION
-28.02562583577496,153.4276928373816,CROSS TRAINER
-27.885860056474204,153.34730503628248,AB CRUNCH / LEG LIFT STATION
-28.110896217712046,153.39037586024656,MULTI ACTIVITY STATION
-27.99736694276891,153.3253624189985,MULTI ACTIVITY STATION
-27.963127262344887,153.4278066082714,STEP UP
-28.082788348262923,153.39507939952045,AB CRUNCH / LEG LIFT STATION
-27.96330815077627,153.42797457394153,BALANCE BEAM
-27.994417909391064,153.4305975025628,CLIMBER
-27.993544632981237,153.43053625309253,HAND WALK
-28.083318859212902,153.39513925176288,VAULT BAR
-28.084953132372124,153.45053066080925,PUSH UP STATION
-28.001787208067707,153.4183081483357,EZY RIDER
-28.021741122451914,153.40924080811246,BUTTERFLY PRESS
-27.99400219360858,153.38562027819458,BALANCE BEAM
-27.979085150702744,153.41771240639127,EZY RIDER
-28.07929258339469,153.35014121669897,STEPPER MACHINE
-27.91698808103544,153.33080544225743,CROSS TRAINER
-27.91828083514897,153.33128017189264,EZY RIDER
-27.779215571125146,153.36399105284792,AB HIP SWINGER
-27.87969765324834,153.31014840621378,PULL UP / DIP STATION
-27.766291874823793,153.24611300117974,LAT PULL DOWN / SHOULDER PRESS
-27.75378905959062,153.21047101321284,LAT PULL DOWN / SHOULDER PRESS
-28.081522017065442,153.44913003243573,CYCLE SEAT
-28.05735974557734,153.40678108554408,AB CRUNCH / LEG LIFT STATION
-27.776146993073993,153.2762807817496,PULL UP / DIP STATION
-27.88607257572599,153.3468865814024,SIT UP BENCH
-28.013620266826567,153.35588982729266,PULL UP / DIP STATION
-27.886342218273096,153.34650784890823,SIT UP BENCH
-27.867965855561287,153.29051501797488,MULTI ACTIVITY STATION
-27.978448946691415,153.41821874004893,CROSS TRAINER
-27.978949814800917,153.417875974791,STEPPER MACHINE
-28.079528380505067,153.35036748998766,AB HIP SWINGER
-27.79246937064431,153.258527876618,LAT PULL DOWN / SHOULDER PRESS
-28.031332567030468,153.43540568025654,STEPPER MACHINE
-27.881075799925274,153.3133268174664,SQUAT PRESS
-27.73571657387045,153.35780858497188,CROSS TRAINER
-27.754004428386615,153.21034198125463,AB HIP SWINGER
-27.92580555050361,153.406439477133,AB CRUNCH / LEG LIFT STATION
-28.12531257676375,153.4773383820167,MULTI ACTIVITY STATION
-28.077790747852045,153.4477423501047,CROSS TRAINER
-28.034200858131772,153.4359295446439,SHOULDER PRESS
-28.023877083437025,153.4093816709975,VAULT BAR
-27.96303374559437,153.42766556404973,STEP UP
-27.963091231839183,153.42772623645448,STEP UP
-28.000385297004556,153.41893146511265,CYCLE SEAT
-27.867241741513453,153.30468958666356,SHOULDER PRESS
-27.867914033022963,153.29043605942587,AB HIP SWINGER
-28.000983749474425,153.41961928996918,STEPPER MACHINE
-27.88103794762871,153.3144928254719,STEPPER MACHINE
-28.086007309224197,153.35557437155362,PULL UP / DIP STATION
-27.77584040103393,153.2726429970757,MULTI ACTIVITY STATION
-28.12492168583844,153.47703136928263,MULTI ACTIVITY STATION
-27.944008473400498,153.32245606872502,AB CRUNCH / LEG LIFT STATION
-28.118713276394583,153.42481431755473,LEG STRETCH
-28.094252364068794,153.4169468981155,STEPPER MACHINE
-27.75386864153224,153.21036765962947,CROSS TRAINER
-27.867917006311966,153.29052452069254,CROSS TRAINER
-27.792312486644505,153.25844304684225,ROWING MACHINE
-27.86794556276263,153.29046319878785,MULTI ACTIVITY STATION
-28.021800960241972,153.4109359325384,BALANCE BEAM
-27.77503614371564,153.27486467681436,MULTI ACTIVITY STATION
-27.88400459437297,153.3960825662167,LAT PULL DOWN / SHOULDER PRESS
-27.8815195394083,153.39685897788948,AB HIP SWINGER
-28.1674694159747,153.52949088437612,MULTI ACTIVITY STATION
-28.0827750667112,153.39502076889903,AB HIP SWINGER
-27.99398201975565,153.43055845288382,BALANCE BEAM
-28.08256563635357,153.39710158949774,VAULT BAR
-28.118389414306883,153.42500085093405,BALANCE BEAM
-28.11852094864079,153.4249303426412,PULL UP / DIP STATION
-27.879518753426563,153.39789731567183,ROWING MACHINE
-28.000459097206665,153.41817126863796,CROSS TRAINER
-27.954093874286578,153.40994704321767,PULL UP / DIP STATION
-27.95412670926746,153.4099521130794,BALANCE BEAM
-28.023353488404496,153.40997013671353,EZY RIDER
-28.022727795337172,153.40911125075957,CYCLE SEAT
-27.97877682238127,153.41795764616919,AB HIP SWINGER
-27.979023957008557,153.41780104932448,ROWING MACHINE
